EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
190529.234,189829.891,210370.516,202892.875,193251.500,184412.188,192386.484,183314.984,0.048,1.000,0.073,-1.556,-0.763,-0.153,80.000,17057.000,1.000
190506.438,189826.766,210372.938,202885.094,193237.359,184423.719,192388.984,183288.609,0.049,1.000,0.075,-1.526,-0.732,-0.183,80.000,17058.000,1.000
190524.219,189861.453,210408.688,202909.500,193250.953,184466.906,192418.219,183291.828,0.049,0.998,0.075,-1.526,-0.763,-0.336,80.000,17059.000,1.000
190552.297,189888.359,210427.203,202923.984,193264.719,184482.453,192429.578,183311.938,0.049,1.001,0.077,-1.526,-0.702,-0.275,80.000,17060.000,1.000
190560.250,189865.734,210398.594,202907.984,193254.625,184451.344,192402.484,183312.125,0.049,1.001,0.076,-1.495,-0.610,-0.305,80.000,17061.000,1.000
190536.922,189836.859,210364.969,202870.703,193231.906,184422.828,192370.828,183278.141,0.050,1.001,0.076,-1.495,-0.610,-0.336,80.000,17062.000,1.000
190521.266,189848.219,210375.172,202865.422,193227.531,184447.672,192379.781,183248.641,0.050,1.002,0.073,-1.556,-0.580,-0.427,80.000,17063.000,1.000
190537.641,189882.813,210410.844,202890.906,193246.750,184496.578,192415.984,183256.234,0.050,1.001,0.073,-1.556,-0.519,-0.427,80.000,17064.000,1.000
190569.469,189907.766,210434.625,202914.688,193269.547,184519.828,192436.641,183279.031,0.053,0.997,0.073,-1.465,-0.488,-0.397,80.000,17065.000,1.000
190581.531,189889.344,210415.484,202908.344,193272.766,184494.438,192419.734,183285.031,0.054,0.998,0.074,-1.465,-0.275,-0.366,80.000,17066.000,1.000
190555.156,189855.547,210385.172,202881.969,193255.344,184461.266,192391.313,183254.453,0.052,0.999,0.072,-1.312,-0.305,-0.366,80.000,17067.000,1.000
190536.922,189860.109,210396.625,202884.016,193251.578,184473.969,192399.625,183232.188,0.049,0.997,0.072,-1.282,-0.244,-0.427,80.000,17068.000,1.000
190545.859,189885.953,210428.625,202910.578,193268.031,184505.875,192430.734,183244.438,0.049,0.997,0.074,-1.312,-0.153,-0.305,80.000,17069.000,1.000
190571.703,189907.313,210450.359,202933.547,193290.297,184518.391,192450.500,183273.234,0.046,0.999,0.072,-1.251,-0.183,-0.366,80.000,17070.000,1.000
190575.719,189878.344,210420.500,202919.969,193281.719,184468.516,192417.953,183279.313,0.046,1.000,0.073,-1.251,-0.092,-0.519,80.000,17071.000,1.000
190546.031,189837.750,210384.281,202892.063,193256.859,184417.547,192378.250,183250.703,0.046,0.999,0.074,-1.343,-0.214,-0.580,80.000,17072.000,1.000
190532.625,189849.016,210401.719,202902.891,193259.188,184434.797,192396.141,183243.984,0.045,0.998,0.075,-1.343,-0.153,-0.580,80.000,17073.000,1.000
190545.141,189878.891,210434.625,202928.906,193273.219,184463.859,192423.141,183261.063,0.044,1.000,0.071,-1.312,-0.183,-0.641,80.000,17074.000,1.000
190567.141,189891.844,210448.391,202944.734,193285.922,184470.031,192434.141,183284.578,0.045,1.002,0.071,-1.465,-0.031,-0.610,80.000,17075.000,1.000
190561.953,189855.375,210408.781,202919.516,193267.766,184418.703,192398.813,183286.188,0.046,1.000,0.072,-1.404,-0.122,-0.610,80.000,17076.000,1.000
190530.656,189818.891,210371.406,202889.391,193244.781,184382.500,192375.031,183270.094,0.045,1.001,0.071,-1.404,-0.244,-0.610,80.000,17077.000,1.000
190514.484,189831.500,210383.219,202894.125,193243.000,184402.438,192383.078,183262.047,0.046,1.001,0.071,-1.404,-0.214,-0.488,80.000,17078.000,1.000
190524.844,189863.500,210414.328,202918.000,193256.141,184439.906,192406.688,183286.094,0.044,0.999,0.073,-1.495,-0.305,-0.458,80.000,17079.000,1.000
190542.188,189880.141,210424.516,202929.531,193267.938,184461.984,192427.781,183319.094,0.042,1.002,0.074,-1.526,-0.122,-0.519,80.000,17080.000,1.000
190550.063,189858.047,210394.391,202912.547,193259.453,184436.500,192406.328,183323.563,0.042,1.003,0.073,-1.587,-0.275,-0.427,80.000,17081.000,1.000
190522.797,189821.391,210355.234,202876.516,193231.641,184403.156,192370.125,183286.906,0.044,1.004,0.071,-1.617,-0.366,-0.488,80.000,17082.000,1.000
190504.016,189827.469,210363.281,202871.328,193227.797,184431.672,192387.828,183270.094,0.043,1.004,0.070,-1.678,-0.366,-0.549,80.000,17083.000,1.000
190520.734,189865.656,210400.469,202898.422,193249.266,184480.125,192427.344,183287.891,0.045,1.004,0.076,-1.678,-0.305,-0.488,80.000,17084.000,1.000
190548.813,189884.969,210416.922,202915.672,193266.422,184499.172,192440.750,183306.578,0.044,1.006,0.075,-1.831,-0.366,-0.702,80.000,17085.000,1.000
190555.422,189861.453,210387.234,202901.641,193259.188,184464.750,192410.625,183312.750,0.042,1.007,0.072,-1.923,-0.336,-0.671,80.000,17086.000,1.000
190524.313,189823.188,210347.891,202862.922,193232.813,184432.203,192375.297,183271.703,0.042,1.006,0.073,-2.136,-0.488,-0.763,80.000,17087.000,1.000
190513.672,189839.906,210368.453,202870.609,193240.141,184468.516,192400.156,183256.156,0.046,1.008,0.076,-2.197,-0.549,-0.671,80.000,17088.000,1.000
190532.266,189882.906,210412.000,202905.031,193268.656,184524.750,192448.438,183278.063,0.044,1.007,0.074,-2.258,-0.641,-0.671,80.000,17089.000,1.000
190560.797,189906.328,210433.453,202929.078,193289.766,184541.734,192463.734,183302.641,0.044,1.004,0.075,-2.411,-0.763,-0.671,80.000,17090.000,1.000
190562.578,189880.141,210402.875,202914.875,193280.375,184493.453,192426.531,183302.281,0.046,1.003,0.074,-2.411,-0.702,-0.641,80.000,17091.000,1.000
