EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
191651.375,190382.688,208567.531,201449.313,193264.016,184682.016,193402.141,183234.516,0.035,1.005,0.190,-2.197,0.031,-0.244,80.000,54625.000,1.000
191677.578,190402.891,208583.984,201467.719,193277.156,184684.781,193403.031,183252.484,0.035,1.002,0.191,-2.136,0.122,-0.244,80.000,54626.000,1.000
191679.266,190370.797,208552.422,201453.422,193264.641,184638.203,193369.328,183260.531,0.036,1.001,0.191,-2.136,0.000,-0.244,80.000,54627.000,1.000
191650.484,190342.906,208519.969,201424.359,193244.156,184608.516,193343.406,183234.063,0.037,1.002,0.190,-2.136,0.031,-0.183,80.000,54628.000,1.000
191634.563,190354.078,208532.047,201430.359,193242.281,184635.344,193350.375,183215.109,0.037,1.003,0.187,-2.106,0.061,-0.183,80.000,54629.000,1.000
191648.969,190385.734,208566.734,201457.891,193268.219,184697.031,193401.609,183239.969,0.037,1.003,0.189,-2.106,-0.061,-0.153,80.000,54630.000,1.000
191670.156,190404.063,208578.984,201469.875,193284.391,184719.203,193421.547,183267.234,0.035,1.003,0.191,-2.075,0.000,-0.153,80.000,54631.000,1.000
191674.531,190374.906,208549.922,201456.547,193270.531,184673.156,193383.375,183263.391,0.034,1.001,0.189,-1.953,-0.061,-0.214,80.000,54632.000,1.000
191649.594,190341.297,208519.516,201434.281,193248.813,184630.609,193352.078,183247.828,0.035,1.000,0.188,-1.923,-0.122,-0.122,80.000,54633.000,1.000
191624.281,190338.703,208521.219,201424.000,193240.313,184647.594,193370.844,183226.563,0.034,1.001,0.188,-1.801,-0.153,-0.092,80.000,54634.000,1.000
191637.969,190365.969,208551.078,201445.203,193258.016,184683.359,193406.531,183243.547,0.033,1.001,0.186,-1.831,-0.214,-0.122,80.000,54635.000,1.000
191663.984,190382.422,208565.125,201461.734,193272.859,184692.391,193419.125,183269.563,0.032,1.001,0.190,-1.770,-0.183,-0.244,80.000,54636.000,1.000
191669.609,190363.203,208538.484,201448.766,193261.781,184646.078,193380.500,183281.906,0.033,0.999,0.192,-1.617,-0.183,-0.275,80.000,54637.000,1.000
191645.922,190334.859,208507.813,201424.984,193241.125,184623.719,193350.641,183254.000,0.034,1.000,0.191,-1.587,-0.153,-0.305,80.000,54638.000,1.000
191627.859,190335.219,208517.281,201428.922,193236.391,184636.141,193356.719,183227.188,0.035,1.003,0.189,-1.587,-0.275,-0.366,80.000,54639.000,1.000
191643.781,190364.719,208552.781,201455.203,193256.141,184671.906,193390.703,183238.984,0.036,1.002,0.189,-1.678,-0.183,-0.305,80.000,54640.000,1.000
191665.141,190377.594,208566.906,201468.625,193269.828,184680.766,193403.219,183261.422,0.040,1.001,0.189,-1.709,-0.305,-0.366,80.000,54641.000,1.000
