EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
192448.344,189671.641,205229.797,198327.750,192839.688,184310.609,192439.766,182341.969,0.000,1.000,0.171,-1.678,-0.244,-0.122,80.000,159793.000,1.000
192463.734,189682.641,205241.328,198334.453,192848.453,184312.672,192445.484,182364.219,0.000,1.000,0.170,-1.678,-0.122,-0.031,80.000,159794.000,1.000
192465.063,189665.109,205214.766,198314.875,192837.453,184288.625,192428.688,182378.625,-0.002,1.003,0.168,-1.709,-0.153,0.000,80.000,159795.000,1.000
192445.047,189637.484,205180.625,198286.531,192814.922,184259.125,192401.859,182362.609,-0.001,1.003,0.167,-1.678,-0.061,-0.153,80.000,159796.000,1.000
192431.000,189641.859,205183.750,198281.625,192810.625,184275.484,192411.250,182341.875,-0.002,1.001,0.170,-1.617,-0.031,-0.275,80.000,159797.000,1.000
192452.281,189677.000,205220.141,198311.656,192835.031,184324.469,192449.328,182352.781,-0.002,1.000,0.168,-1.617,0.031,-0.305,80.000,159798.000,1.000
192494.656,189712.938,205257.781,198352.875,192870.891,184358.000,192480.172,182392.391,-0.002,1.000,0.170,-1.740,-0.031,-0.275,80.000,159799.000,1.000
192510.750,189713.484,205249.469,198355.734,192878.047,184346.375,192466.859,182415.641,-0.002,1.000,0.171,-1.770,0.061,-0.336,80.000,159800.000,1.000
192476.063,189662.516,205197.703,198307.094,192839.688,184294.078,192425.109,182383.188,0.000,1.002,0.170,-1.740,0.153,-0.336,80.000,159801.000,1.000
192450.406,189645.891,205184.906,198280.547,192817.422,184284.688,192418.672,182341.422,-0.001,1.002,0.170,-1.801,0.153,-0.305,80.000,159802.000,1.000
192464.078,189665.641,205216.922,198308.531,192835.219,184316.781,192447.641,182347.234,0.001,1.004,0.171,-1.831,0.275,-0.336,80.000,159803.000,1.000
192511.297,189709.453,205257.328,198352.609,192869.094,184350.141,192476.953,182379.156,0.000,1.005,0.170,-1.740,0.366,-0.336,80.000,159804.000,1.000
192518.094,189690.859,205237.125,198339.016,192856.844,184310.969,192442.984,182385.953,0.001,1.003,0.166,-1.770,0.366,-0.366,80.000,159805.000,1.000
192493.406,189655.813,205203.688,198303.250,192829.672,184272.797,192413.031,182359.484,0.000,1.005,0.170,-1.831,0.275,-0.305,80.000,159806.000,1.000
192483.047,189660.281,205212.359,198302.984,192822.703,184271.906,192408.109,182328.469,-0.001,1.007,0.171,-1.923,0.366,-0.336,80.000,159807.000,1.000
192502.891,189694.438,205247.234,198334.016,192840.578,184304.094,192432.078,182328.906,-0.004,1.006,0.171,-1.953,0.458,-0.397,80.000,159808.000,1.000
192529.797,189713.391,205269.406,198356.547,192861.766,184320.625,192457.297,182352.609,-0.002,1.007,0.169,-2.045,0.336,-0.458,80.000,159809.000,1.000
192532.484,189698.641,205251.875,198349.922,192859.719,184292.563,192438.250,182373.078,-0.003,1.008,0.169,-2.167,0.336,-0.519,80.000,159810.000,1.000
192498.328,189657.781,205214.063,198315.766,192833.781,184253.750,192401.859,182354.297,-0.005,1.006,0.172,-2.258,0.336,-0.580,80.000,159811.000,1.000
192481.609,189655.094,205216.656,198310.406,192825.375,184259.031,192395.594,182319.797,-0.004,1.007,0.172,-2.289,0.275,-0.641,80.000,159812.000,1.000
192486.078,189673.516,205239.453,198331.063,192837.266,184287.547,192421.969,182319.969,-0.004,1.007,0.174,-2.350,0.244,-0.641,80.000,159813.000,1.000
192502.359,189696.844,205256.531,198347.063,192855.422,184310.438,192448.625,182349.031,-0.004,1.003,0.173,-2.258,0.092,-0.702,80.000,159814.000,1.000
